_id,ID,LAMS_ID,IS_CIRCLE,NAME,NAME_EN,BBS_CODE,ROW_STATUS,DIVISION_BBS_CODE,DIVISION_ID,DIVISION_NAME,DIVISION_NAME_EN,DISTRICT_BBS_CODE,DISTRICT_ID,DISTRICT_NAME,DISTRICT_NAME_EN
67f504868a956129955bf722,52515,,0,হাজীগঞ্জ,HAJIGANJ,49,1,20,2,চট্টগ্রাম,Chittagong,13,9,চাঁদপুর,CHANDPUR
67f504868a956129955bf723,52514,,0,কচুয়া,KACHUA,58,1,20,2,চট্টগ্রাম,Chittagong,13,9,চাঁদপুর,CHANDPUR
67f504868a956129955bf724,52513,,0,মতলব দক্ষিণ,MATLAB DAKSHIN,76,1,20,2,চট্টগ্রাম,Chittagong,13,9,চাঁদপুর,CHANDPUR
67f504868a956129955bf725,52512,,0,মতলব উত্তর,MATLAB UTTAR,79,1,20,2,চট্টগ্রাম,Chittagong,13,9,চাঁদপুর,CHANDPUR
67f504868a956129955bf726,52511,,0,শাহরাস্তি,SHAHRASTI,95,1,20,2,চট্টগ্রাম,Chittagong,13,9,চাঁদপুর,CHANDPUR
67f504868a956129955bf727,52510,,0,আনোয়ারা,ANWARA,04,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf728,52509,,0,বাঁশখালী,BANSHKHALI,08,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf729,52508,,0,বোয়ালখালী,BOALKHALI,12,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf72a,52507,,0,চন্দনাইশ,CHANDANAISH,18,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf72b,52506,,0,কালুখালী,KALUKHALI,47,1,30,3,ঢাকা,Dhaka,82,31,রাজবাড়ী,RAJBARI
67f504868a956129955bf72c,52505,,0,ফটিকছড়ি,FATIKCHHARI,33,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf72d,52504,,0,হাটহাজারী,HATHAZARI,37,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf72e,52503,,0,লোহাগাড়া,LOHAGARA,47,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf72f,52502,,0,মীরসরাই,MIRSHARAI,53,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf730,52501,,0,বিজয়নগর,BIJOYNAGAR,07,1,20,2,চট্টগ্রাম,Chittagong,12,8,ব্রাহ্মণবাড়িয়া,BRAHMANBARIA
67f504868a956129955bf731,52500,,0,রাঙ্গাবালি,RANGABALI,97,1,10,1,বরিশাল,Barisal,78,5,পটুয়াখালী,PATUAKHALI
67f504868a956129955bf732,52499,,0,পটিয়া,PATIYA,61,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf733,52498,,0,রাঙ্গুনীয়া,RANGUNIA,70,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf734,52497,,0,রাউজান,RAOZAN,74,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf735,52496,,0,সন্দ্বীপ,SANDWIP,78,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf736,52495,,0,সাতকানীয়া,SATKANIA,82,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf737,52494,,0,সীতাকুন্ড,SITAKUNDA,86,1,20,2,চট্টগ্রাম,Chittagong,15,10,চট্টগ্রাম,CHITTAGONG
67f504868a956129955bf738,52493,,0,আলমডাঙ্গা,ALAMDANGA,07,1,40,4,খুলনা,Khulna,18,36,চুয়াডাঙ্গা,CHUADANGA
